Year,Extreme Fires
1898,2
1899,8
1900,23
1902,2
1903,4
1920,1
1921,1
1925,36
1926,2
1927,2
1931,4
1932,1
1933,3
1934,1
1935,12
1936,5
1937,214
1938,265
1939,443
1940,372
1941,417
1942,320
1943,284
1944,425
1945,374
1946,340
1947,248
1948,288
1949,340
1950,346
1951,280
1952,392
1953,421
1954,577
1955,598
1956,566
1957,632
1958,537
1959,616
1960,507
1961,794
1962,729
1963,641
1964,759
1965,614
1966,648
1967,521
1968,710
1969,604
1970,300
1971,337
1972,713
1973,522
1974,413
1975,492
1976,498
1977,716
1978,608
1979,786
1980,1016
1981,874
1982,841
1983,758
1984,800
1985,995
1986,1013
1987,1164
1988,1080
1989,942
1990,1226
1991,1399
1992,917
1993,1096
1994,1346
1995,1325
1996,1196
1997,1135
1998,1011
1999,987
2000,2284
2001,1507
2002,1842
2003,1710
2004,1516
2005,1672
2006,1672
2007,1824
2008,1575
2009,2131
2010,1134
2011,1445
2012,2659
2013,1777
2014,2428
2015,2216
2016,1852
2017,2222
2018,2105
2019,2186
2020,1114
2021,1201
2022,987
2023,1715
2024,929